"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahamas, The","BHS","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","93.6182","99.2579","103.132","107.454","103.173","106.266","103.646","114.557","107.247","108.112","112.649","119.43","120.161","120.313","121.977","116.529","119.574","124.679","129.905","136.121","160","160","170","170","170","170","170","180","180","180","180","180","190","190","210","200","200","210","210","210","210","220","220","230","220","230","230","230","230","","",
"Bosnia and Herzegovina","BIH","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","3173.7","3202.11","3222.75","3259.47","3470.38","3350.17","3319.17","3323.15","3397.02","3470.73","3660.59","3868.77","4217.93","4516.74","4580.33","4644.82","4525.84","4558.4","4311.72","4399.82","5050","4950","3250","2450","2450","2230","2510","2960","3260","3420","3580","3580","2950","3180","3360","3460","3640","3810","3900","4000","3790","3860","3780","3780","3470","3480","3460","3420","3380","","",
"Belarus","BLR","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","12125.1","12728.7","13175.8","13543.1","14010.5","14487.2","14658.3","14830","15174.5","15383","15567.1","15714.1","16014.3","16387","16759.6","17136.2","17390.5","17804.6","17726.2","18093.6","20090","19660","17600","16740","15930","15120","14850","14630","14560","14400","13970","13730","13530","13620","14060","13790","14150","14560","15410","15480","15930","15610","15890","16590","16700","16980","16550","16720","16730","","",
"Belize","BLZ","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","96.4889","108.077","112.541","115.247","127.784","131.281","126.443","134.226","135.003","145.317","142.073","137.738","155.641","142.432","146.228","143.228","143.252","148.371","151.007","158.536","6120","6240","6380","6480","6610","5520","4450","3400","2340","1280","210","240","260","290","280","300","350","400","450","490","540","550","520","540","490","480","500","520","530","","",
"Bermuda","BMU","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","19.9698","20.3561","21.05","21.836","20.9776","21.548","21.0867","22.8596","21.7584","21.9242","22.7306","23.0682","23.8669","24.9723","24.6363","22.3878","21.9011","22.4462","23.275","24.3998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","16508.6","11349.2","15052.3","12661","14135.5","16353.3","19290.7","14982.3","18848.6","19993.7","21233.3","19046.2","19916.5","21186.9","16739.4","18281.8","18697.5","22567.2","19465","19829","12540","13110","13770","14410","15100","15260","15140","15370","15750","16260","16420","16450","17960","18160","19440","20390","20300","20520","20760","21240","23000","22710","23200","23660","23420","24160","24830","24870","25050","","",
"Brazil","BRA","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","207737","181227","202311","193144","206837","222650","248660","230474","244721","254110","275469","268220","276022","280215","268282","276932","289242","313604","303131","309656","285240","300170","304560","305470","311160","311550","304620","311060","318140","322940","325470","343440","361630","377700","395480","397320","392850","393310","391400","396980","413330","412830","414530","411880","416350","422280","424800","421660","416280","","",
"Barbados","BRB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","100.037","99.6235","99.3967","103.435","101.21","94.5442","94.7256","98.1512","98.3431","100.32","105.248","103.297","101.422","103.253","106.172","104.42","107.973","109.174","114.185","123.467","2070","2110","2150","2190","2220","2230","2240","2250","2260","2270","2280","2280","2270","2270","2270","2270","2270","2270","2280","2290","2300","2300","2310","2310","2320","2330","2330","2340","2350","","",
"Brunei Darussalam","BRN","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","1614.81","1276.48","1733.59","2611.12","2587.87","2867.56","3500.47","3972.31","4085.62","3857.07","4467.29","3603.46","3695.23","4407.76","3454.88","3261.48","3280.3","3649.84","3343.78","3127.02","9870","10010","10150","10280","10420","10550","10870","11190","11500","11820","12130","12220","12300","12380","12470","12550","12060","11570","11070","10580","10090","9970","9850","9720","9600","9480","9260","9050","8830","","",
"Bhutan","BTN","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","698.411","708.691","718.171","731.495","744.099","748.386","757.762","771.206","793.6","809.099","824.635","829.884","849.867","869.033","887.475","913.409","932.933","952.427","895.907","902.446","830","840","810","810","810","860","850","850","850","880","860","820","820","830","840","910","900","920","850","900","900","900","900","910","880","870","870","870","860","","",
"Botswana","BWA","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","5232.4","3235.56","3725.3","4015.6","3837.64","4595.57","4538.56","5170.34","5119.89","6114.78","5327.21","4932.32","5332.04","5131.96","4170.28","4045.73","3916.36","4946.03","4062.62","4612.06","6050","5740","5560","5400","5680","6180","6850","6630","6240","6260","6150","7090","7080","3710","3970","4520","5510","4590","8780","4560","10020","12190","6320","5830","4430","4260","3870","5280","4560","","",
"Central African Republic","CAF","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","28889.6","27465.9","26787.2","30480.2","19560","22510.2","24017.8","31451.7","23497.1","27484.7","38591.8","28376.7","35819.1","31620.1","30844.8","25781.8","26604.3","28833.8","25241","29728.2","15680","15970","16080","16190","16360","16520","17560","17710","18720","17670","19150","17230","16080","18450","17110","17540","18020","18640","19580","17820","19250","20570","19820","21050","21460","22240","23340","22810","23200","","",
"Canada","CAN","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","67295.5","68154","66036.9","67343.5","66484.9","64755.4","67771.7","65172.8","62534.2","73100.3","78956.3","78505","68998.1","69139.1","71134.8","73675.6","73266.9","74144.6","78447.6","92349.3","86830","88220","92250","94870","97440","101280","105380","107150","109270","107960","106910","105320","103840","102210","103180","101520","101440","99520","96350","91740","90200","90120","92550","95000","97120","94850","90490","92380","93980","","",
"Central Europe and the Baltics","CEB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","187669.71","192661.11","197836.66","204673.44","211302.99","217922.55","222892.55","228589.21","233868.29","238830.67","234602.47","221434.55","233064.06","255577.5","250489.4","252747.75","249330.25","250363.52","248988.51","240577.63","198960","184320","174780","164570","158090","154390","153470","150210","143590","139690","137800","140200","136160","136860","133980","133190","132070","129200","128280","124380","123840","120660","119110","117710","116340","116430","114510","114340","114080","","",
