"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bulgaria","BGR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","10100.606","10045.953","10460.082","10423.192","10807.499","12238.676","11865.87","12235.483","11945.075","12306.659","12572.701","12968.509","12690.439","12780.06","11941.2","12086.807","11845.937","11539.998","15049.291","10067.25","8390","7140","5300","4570","4620","4380","4480","4190","3600","3360","3760","3960","4380","4480","4370","3990","3260","3620","3800","3790","3710","4360","3430","3760","3830","4000","4010","4050","4050","","",
"Bahrain","BHR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","13.417296","13.670659","15.825779","19.375403","21.940591","25.789489","29.503165","34.03211","36.89124","38.65421","39.68403","44.99836","47.39838","52.61134","53.30295","58.57884","68.61602","63.19257","66.60319","69.30515","40","40","40","40","30","30","40","40","40","40","40","40","50","60","70","70","70","60","70","70","80","90","90","90","90","80","70","70","90","","",
"Bahamas, The","BHS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","41.1804","41.25976","43.38698","47.56299","40.90264","49.75159","51.12365","53.32341","56.18347","51.56168","59.45552","67.17204","65.73922","56.01917","58.66533","50.37531","47.78712","49.10431","55.54177","58.37672","50","50","50","40","40","50","50","50","60","50","50","50","50","50","70","60","60","60","70","60","50","70","70","80","70","80","80","80","80","","",
"Bosnia and Herzegovina","BIH","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","1312.6857","1328.8832","1290.9423","1329.7357","1395.9827","1390.164","1360.9558","1369.4684","1354.3652","1337.0393","1344.6188","1313.9288","1326.3102","1343.6609","1367.0659","1316.4274","1287.213","1288.7041","1298.9","1231.1433","1120","1200","840","740","650","550","500","610","780","840","850","840","820","770","960","900","890","880","810","1130","1100","1220","1300","1210","1310","1350","1210","1210","1090","","",
"Belarus","BLR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","15590.179","16272.52","16902.967","17740.587","18556.352","19236.368","19320.068","19438.581","19512.051","19517.414","19643.863","19263.803","19126.473","20024.915","19849.114","20044.817","20040.849","20160.602","19821.183","18745.173","17520","16500","13070","12680","12030","11870","11900","11930","11850","11790","11640","12260","11190","11430","11650","12000","12460","12320","12820","12990","12880","13380","13240","13040","12640","12530","11750","12160","12010","","",
"Belize","BLZ","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","85.61177","84.23475","87.41101","88.54251","95.47752","97.95101","90.14242","97.43083","101.91684","115.5122","108.48357","97.14718","121.62044","106.08758","112.15459","112.36818","118.33103","130.38879","129.01704","122.51324","110","110","120","110","110","100","100","100","110","110","110","110","180","240","120","140","130","140","130","160","140","170","160","230","230","240","240","230","210","","",
"Bermuda","BMU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","5.199382","5.254407","5.712556","5.914676","6.501785","7.921523","8.418608","8.753408","9.403819","9.138397","10.817822","10.472854","11.011386","13.331736","14.242237","12.116381","11.135355","11.190442","17.293722","19.682985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","12893.365","8585.76","10895.88","8886.925","9850.777","11390.175","13440.484","10147.943","12679.558","13525.734","14330.122","12753.307","13395.627","13923.247","10530.359","11463.273","12084.172","15045.323","12475.144","12644.714","5010","5140","5250","5380","5540","5670","5470","5670","6020","6350","6050","6030","6900","6600","7450","8000","7670","7650","7670","7660","9520","8460","8480","8460","8030","8550","9050","8850","8770","","",
"Brazil","BRA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","107500.25","89532.34","103052.68","94995.47","104797.98","114144.79","128801.59","117036.16","126111.41","131963.59","142679.36","135387.85","138788.24","140032.58","129794.52","134823.03","140371.1","156594.64","145739.37","150324.89","106590","111490","113000","115700","119000","119980","113500","116690","123900","124220","124410","130210","140600","146210","156770","156250","154460","160010","153670","150360","167390","166850","167660","167970","174590","172220","176350","184380","179200","","",
"Barbados","BRB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","62.86428","56.9997","59.26239","58.81382","52.22818","51.03561","53.37797","51.97522","58.38106","56.07032","60.37126","61.77587","62.51336","61.31304","62.81344","59.37027","61.87042","69.52091","68.46908","70.66388","60","60","60","60","60","60","60","60","60","60","60","60","50","50","60","50","50","50","50","50","50","50","50","60","50","50","50","50","50","","",
